codigo_participante,fecha_consentimiento,medio,acepta
P01,2026-08-16,presencial,si
P02,2026-08-16,presencial,si
P03,2026-08-16,presencial,si
P04,2026-08-16,presencial,si
P05,2026-08-16,presencial,si
P06,2026-08-16,presencial,si
P07,2026-08-16,presencial,si
P08,2026-08-16,presencial,si
P09,2026-08-16,presencial,si
P10,2026-08-16,presencial,si
P11,2026-08-16,presencial,si
P12,2026-08-16,presencial,si
P13,2026-08-16,presencial,si
P14,2026-08-16,presencial,si
P15,2026-08-16,presencial,si
P16,2026-08-16,presencial,si
