GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,uteq.edu.ec.artisync.controller.social,SorteoControlador,0,98,0,6,0,17,0,13,0,10
,uteq.edu.ec.artisync.controller.social,ResenaControlador,0,60,0,2,0,10,0,7,0,6
,uteq.edu.ec.artisync.controller.pedido,TicketRevisionControlador,0,28,0,0,0,5,0,3,0,3
,uteq.edu.ec.artisync.controller.pedido,FlujoTrabajoControlador,6,112,3,1,0,19,2,10,0,10
,uteq.edu.ec.artisync.controller.pedido,PedidoControlador,0,144,0,0,0,24,0,16,0,16
,uteq.edu.ec.artisync.audit,AspectoAuditoria,77,327,14,22,19,86,12,16,0,10
,uteq.edu.ec.artisync.audit,ContextoAuditoria,0,39,0,4,0,12,0,6,0,4
,uteq.edu.ec.artisync.audit,ResultadoAuditoria,0,21,0,0,0,4,0,1,0,1
,uteq.edu.ec.artisync.audit,SanitizadorAuditoria,15,167,7,25,5,33,7,16,0,7
,uteq.edu.ec.artisync.audit,ModuloAuditoria,0,51,0,0,0,9,0,1,0,1
,uteq.edu.ec.artisync.audit,DatosEventoAuditoria,0,48,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.controller.perfil,VerificacionControlador,6,82,3,1,0,13,2,8,0,8
,uteq.edu.ec.artisync.controller.perfil,CertificadoIaControlador,27,10,0,0,5,2,4,1,4,1
,uteq.edu.ec.artisync.controller.perfil,PortafolioItemControlador,23,67,1,1,3,13,3,5,2,5
,uteq.edu.ec.artisync.controller.perfil,PerfilCreadorControlador,0,70,0,0,0,13,0,9,0,9
,uteq.edu.ec.artisync.controller.perfil,PortafolioControlador,0,60,0,0,0,10,0,7,0,7
,uteq.edu.ec.artisync.specification.legal,PagoGarantiaSpecification,91,7,12,0,15,1,8,1,2,1
,uteq.edu.ec.artisync.specification.seguridad,UsuarioSpecification,0,126,2,8,0,18,2,5,0,2
,uteq.edu.ec.artisync.service.shared.imagen,PreprocesadorImagenIa,42,212,3,21,10,51,3,16,0,7
,uteq.edu.ec.artisync.controller.auditoria,AuditoriaControlador,0,29,0,0,0,5,0,4,0,4
,uteq.edu.ec.artisync.security,AuthConfig,0,25,0,0,0,4,0,2,0,2
,uteq.edu.ec.artisync.security,CustomUserDetailsService,0,73,0,2,0,14,0,3,0,2
,uteq.edu.ec.artisync.security,JwtService,44,334,16,24,10,84,19,16,4,11
,uteq.edu.ec.artisync.security,CustomAuthenticationEntryPoint,13,80,2,2,3,18,2,3,0,3
,uteq.edu.ec.artisync.security,JwtAuthenticationFilter,33,129,5,13,10,33,5,6,0,2
,uteq.edu.ec.artisync.security,AuthRateLimitFilter,0,222,2,16,0,51,2,12,0,5
,uteq.edu.ec.artisync.security,ClientIpResolver,0,3,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.security,CustomUserDetails,0,13,0,0,0,3,0,1,0,1
,uteq.edu.ec.artisync.security,AuthRateLimitFilter.Politica,0,18,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.service.catalogo.impl,ServicioCatalogoServicioImpl,146,945,33,71,20,217,39,48,10,25
,uteq.edu.ec.artisync.service.catalogo.impl,EtiquetaServicioImpl,0,88,0,4,0,23,0,8,0,6
,uteq.edu.ec.artisync.service.catalogo.impl,CategoriaServicioImpl,18,349,5,29,3,82,5,29,0,17
,uteq.edu.ec.artisync.service.shared.almacenamiento,PoliticaArchivo,16,104,4,6,2,18,4,5,0,4
,uteq.edu.ec.artisync.service.shared.almacenamiento,PrefijoAlmacenamiento,0,24,1,5,0,6,1,3,0,1
,uteq.edu.ec.artisync.service.shared.almacenamiento,AlmacenamientoAzure,190,64,10,10,55,17,12,7,6,3
,uteq.edu.ec.artisync.service.shared.almacenamiento,ExtensionesArchivo,4,257,2,6,2,45,2,5,0,3
,uteq.edu.ec.artisync.service.shared.almacenamiento,AlmacenamientoLocal,26,114,0,2,6,31,0,10,0,9
,uteq.edu.ec.artisync.service.shared.almacenamiento,UrlFotoPerfil,6,4,3,1,1,2,2,1,0,1
,uteq.edu.ec.artisync.controller.comunicacion,BriefingControlador,0,62,0,0,0,12,0,7,0,7
,uteq.edu.ec.artisync.controller.comunicacion,ComentarioPortafolioControlador,0,48,0,0,0,9,0,5,0,5
,uteq.edu.ec.artisync.controller.comunicacion,NotificacionControlador,0,41,0,0,0,8,0,4,0,4
,uteq.edu.ec.artisync.controller.comunicacion,AdminInfraccionControlador,19,0,0,0,3,0,3,0,3,0
,uteq.edu.ec.artisync.controller.comunicacion,SeguidorControlador,0,57,0,2,0,8,0,7,0,6
,uteq.edu.ec.artisync.controller.comunicacion,ChatControlador,0,57,0,2,0,11,0,6,0,5
,uteq.edu.ec.artisync.controller.comunicacion,LikePortafolioControlador,0,32,0,2,0,5,0,4,0,3
,uteq.edu.ec.artisync.controller.comunicacion,AdminComentarioControlador,27,0,0,0,5,0,4,0,4,0
,uteq.edu.ec.artisync.config,WebSocketConfig,0,56,0,0,0,10,0,3,0,3
,uteq.edu.ec.artisync.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.config,PayPalConfig,21,3,2,0,7,1,6,1,5,1
,uteq.edu.ec.artisync.config,WebSocketAuthInterceptor,16,290,5,29,6,71,5,20,0,8
,uteq.edu.ec.artisync.config,IaConfig,0,35,0,0,0,8,0,2,0,2
,uteq.edu.ec.artisync.config,RedisConfig,0,48,0,0,0,15,0,3,0,3
,uteq.edu.ec.artisync.config,SecurityConfig,0,322,0,0,0,44,0,12,0,12
,uteq.edu.ec.artisync.config,TlsMedicionConfig,68,0,0,0,18,0,3,0,3,0
,uteq.edu.ec.artisync.validation,BirthDateValidator,68,0,10,0,17,0,9,0,4,0
,uteq.edu.ec.artisync.service.seguridad.impl,TwoFactorServiceImpl,124,254,12,16,22,52,17,10,7,6
,uteq.edu.ec.artisync.service.seguridad.impl,RolePermissionServiceImpl,36,326,9,17,3,83,11,20,3,15
,uteq.edu.ec.artisync.service.seguridad.impl,UserServiceImpl,64,182,8,8,13,34,9,12,3,10
,uteq.edu.ec.artisync.service.seguridad.impl,AuthServiceImpl,43,816,10,36,7,200,11,36,2,22
,uteq.edu.ec.artisync.service.seguridad.impl,AdminUserServiceImpl,182,394,25,29,38,83,21,28,5,17
,uteq.edu.ec.artisync.service.seguridad.impl,PaisServiceImpl,41,172,3,7,6,37,5,12,3,9
,uteq.edu.ec.artisync.service.shared.reporte,TipoColumna,0,45,0,0,0,8,0,1,0,1
,uteq.edu.ec.artisync.service.shared.reporte,FormatoReporte,0,53,0,0,0,12,0,5,0,5
,uteq.edu.ec.artisync.service.shared.reporte,ColumnaReporte,32,47,0,0,4,5,4,5,4,5
,uteq.edu.ec.artisync.service.shared.reporte,TotalReporte,0,12,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.service.shared.reporte,FormateadorValores,31,54,9,6,3,14,7,6,0,4
,uteq.edu.ec.artisync.service.shared.reporte,DocumentoGenerado,0,12,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.service.shared,ContextoSolicitud.Datos,0,15,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.service.shared,PreAuth2faTicketService.DatosTicket,0,9,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.service.shared,ActorAutenticado,2,29,2,2,1,4,2,2,0,2
,uteq.edu.ec.artisync.service.shared,UsuarioMapper,0,188,0,8,0,44,0,14,0,10
,uteq.edu.ec.artisync.service.shared,ContextoSolicitud,16,16,1,1,6,4,1,2,0,2
,uteq.edu.ec.artisync.service.shared,IntentosAutenticacionService,95,4,8,0,24,1,8,1,4,1
,uteq.edu.ec.artisync.service.shared,EmailService,65,4,0,0,16,1,1,1,1,1
,uteq.edu.ec.artisync.service.shared,SessionRevocationService,4,158,3,13,1,38,3,12,0,7
,uteq.edu.ec.artisync.service.shared,PreAuth2faTicketService,15,163,2,8,5,38,2,9,0,6
,uteq.edu.ec.artisync.service.shared,ActorAutenticado.Actor,0,9,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.service.shared,StoredProcedureExceptionTranslator,2,65,1,11,1,18,1,9,0,3
,uteq.edu.ec.artisync.controller.seguridad,UserController,0,96,0,2,0,17,0,8,0,7
,uteq.edu.ec.artisync.controller.seguridad,RolePermissionController,26,30,0,0,4,5,3,4,3,4
,uteq.edu.ec.artisync.controller.seguridad,TwoFactorController,25,0,0,0,3,0,3,0,3,0
,uteq.edu.ec.artisync.controller.seguridad,AdminUserController,50,49,1,1,6,7,6,4,5,4
,uteq.edu.ec.artisync.controller.seguridad,AuthController,0,171,0,16,0,46,0,20,0,12
,uteq.edu.ec.artisync.controller.seguridad,PaisController,18,19,0,0,3,3,3,3,3,3
,uteq.edu.ec.artisync.controller.seguridad,PermissionController,32,3,6,0,8,1,5,1,2,1
,uteq.edu.ec.artisync.exception,ExcepcionReglaNegocio,0,4,0,0,0,2,0,1,0,1
,uteq.edu.ec.artisync.exception,ExcepcionRecursoNoEncontrado,0,4,0,0,0,2,0,1,0,1
,uteq.edu.ec.artisync.exception,ExcepcionServicioIaNoDisponible,0,17,0,0,0,6,0,3,0,3
,uteq.edu.ec.artisync.exception,ExcepcionRecursoDuplicado,0,4,0,0,0,2,0,1,0,1
,uteq.edu.ec.artisync.exception,ExcepcionCuotaExcedida,10,0,0,0,4,0,2,0,2,0
,uteq.edu.ec.artisync.exception,ManejadorGlobalExcepciones,205,61,4,0,42,14,12,5,10,5
,uteq.edu.ec.artisync.dto.peticion.perfil,PeticionCrearPortafolioItem,0,9,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.dto.peticion.perfil,PeticionCrearPerfil,0,15,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.dto.peticion.perfil,PeticionActualizarPerfil,0,12,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.dto.peticion.perfil,PeticionCrearPortafolio,0,12,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.dto.peticion.perfil,PeticionCrearCertificadoIa,0,15,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.dto.peticion.perfil,PeticionActualizarPortafolio,0,9,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.dto.peticion.perfil,PeticionDecisionVerificacion,0,9,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.service.legal.impl,ContratoServicioImpl,17,594,5,37,3,133,5,34,0,18
,uteq.edu.ec.artisync.service.legal.impl,PagoGarantiaAuditoriaServicioImpl,0,193,0,0,0,52,0,6,0,6
,uteq.edu.ec.artisync.service.legal.impl,ReporteFinancieroServicioImpl,23,282,5,15,4,63,5,13,0,8
,uteq.edu.ec.artisync.service.legal.impl,ReporteContratoServicioImpl,191,4,12,0,46,1,10,1,4,1
,uteq.edu.ec.artisync.service.legal.impl,PagoServicioImpl,70,654,17,40,25,142,16,28,0,15
,uteq.edu.ec.artisync.service.legal.impl,EntregableServicioImpl,49,471,9,31,2,110,17,21,8,10
,uteq.edu.ec.artisync.service.legal.impl,PdfGeneracionServicioImpl,10,55,4,0,1,13,3,2,1,2
,uteq.edu.ec.artisync.specification.catalogo,ServicioSpecification,162,9,20,0,27,1,12,1,2,1
,uteq.edu.ec.artisync.dto.respuesta.legal,RespuestaReporteComisiones,0,33,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.dto.respuesta.legal,FilaReporteContrato,33,0,0,0,1,0,1,0,1,0
,uteq.edu.ec.artisync.dto.respuesta.legal,DetalleComision,0,21,0,0,0,1,0,1,0,1
,uteq.edu.ec.artisync.dto.respuesta.legal,RespuestaResumenEscrow,0,12,0,0,0,1,0,1,0,1
